"","code","SpCond","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","pca_id","Map.Number","Map.Code","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"1","acebb",47.78,21.9,6.2,7.8,1.27875360095283,0.668665415454492,-1.32376378323669,-1.8167301563172,-1.36527089191867,1,15,"ace",-0.200402235315549,1.37162847661221,1.15621821505821,-0.319546336477086,0.21804229960662,0.239249850724486,-0.43146419526731,0.243083288545297,-0.143778967963988
"2","aceei",44.74,22.05,6.1,7.7,1.23044892137827,0.833784374656479,-1.61216542760919,-1.60423691058224,-1.59133612593619,2,15,"ace",-0.101213562649795,1.36884654092632,0.40762437043567,-0.435015947420698,0.474825538808023,0.0930351866104333,0.0640822956426961,0.474974307521896,-0.0434810874232551
"3","acefc",11.1025,21.25,5.3,6.9,1.44715803134222,0.907276966689682,-1.28819277095881,-1.40395299245456,-1.14508697769214,3,15,"ace",2.25110634542367,1.83074505778116,0.576056899417596,1.09322901374234,1.12222861368257,-0.329701919438322,0.203855433795399,-0.274567373108368,-0.0504831630049764
"4","acemc",28.31,21.6,5.9,7.4,1.38021124171161,0.876895896126572,-1.36076260421797,-1.44977164694491,-1.26780734899373,7,15,"ace",1.13026808591138,1.53474490678785,0.749682818747454,0.0976429048277805,0.688009239178654,0.00926866482605624,0.0158561035510424,0.00406480710490602,-0.102713766509643
"5","acesp",45.1475,21.9,6,7.7,1.23044892137827,0.605735893876747,-1.28253754226251,-1.77598518862714,-1.4145392704915,9,15,"ace",-0.0908381848147664,1.37426053868969,1.09242982220957,0.0426225161631443,0.136904731289233,0.21534178727305,-0.353444891783405,0.219941727725701,-0.120149892874877
"6","apacp",35.31,23.75,7,8,0.903089986991944,0.788875115775417,-1.62893213772826,-1.36485148630239,-2.69897000433602,11,19,"apa",-0.668846284516268,0.75425623181986,-1.33620472058614,-0.719092435788624,-1.0326965548107,0.36995337487752,0.0753656156887657,0.296060158368404,0.12284696759188
"7","apadb",33.7625,23.7,7.25,8,1,0.903089986991944,-1.85387196432176,-1.42021640338319,-2.69897000433602,12,19,"apa",-0.633027479295618,0.753283481336159,-1.67557090078032,-1.0539316185445,-0.570004704681888,0.326929471119819,0.0659086571249582,0.372795038658331,0.12253743552813
"8","apaeb",14.5325,24.6,7,7.6,1.11394335230684,1.08829264284413,-1.53760200210104,-1.61978875828839,-2.69897000433602,13,19,"apa",0.587244930494837,1.34087508896385,-1.89325746016539,-0.4202408997054,-0.65988942991736,-0.211024516091454,-0.136086895676285,-0.248752470070152,0.0912014476109702
"9","apaes",12.425,24.55,6.7,7.5,0.903089986991944,1.06694678963061,-1.61978875828839,-1.60205999132796,-2.69897000433602,15,19,"apa",0.456143685980632,1.26002391126781,-2.01944611436656,-0.0667139809205901,-0.568200924181578,-0.367817043399415,0.290597113742306,-0.379704107743284,0.128224046344869
"10","apapc",41.28,23.1,6.7,8.1,0.903089986991944,0.732393759822969,-2.01547268665621,-1.95860731484178,-2.69897000433602,19,19,"apa",-1.55684444933665,0.859920028712913,-1.56563226715496,-0.822383041351171,-0.275651020389446,0.324792094395608,-0.0667536033816619,0.420484634993597,0.458473363843292
"11","cbmip",0.44,16.2,8.1,7.2,1.04139268515823,0.467608105583633,-1.27029537868781,-0.461761499310449,-1.30627305107635,23,11,"cbm",2.23170749058711,-0.924512497524791,0.32214702532688,0.84778532518576,0.380157845979815,0.246655249035203,0.0854665455224384,-0.58673068569307,-0.410147482190929
"12","cbmmb",17.89,15.6,7.8,7,0.954242509439325,0.893761762057943,-2.18708664335714,-1.3337160773769,-1.85542579239038,25,11,"cbm",0.993945442601545,-0.413839468480079,-1.27721562909505,0.385101976752327,1.65772609421443,-1.04034134821715,0.480448719233995,0.374139656464955,-0.0190146462073261
"13","cbmmc",0.23,17.25,6.7,6.6,1.25527250510331,0.841359470454855,-1.32790214206428,-0.680200179389494,-1.80873533802966,26,11,"cbm",2.99680746896215,0.409341343370796,-0.620555242233238,1.53077971944179,0.532089228609927,-0.760436470417224,0.33796747849939,0.140801806970856,-0.0667482910904989
"14","cbmoc",0.34,20.4,9.075,7.6,1.41497334797082,1.43782980640822,-1.42021640338319,-0.247951552180562,-2.40157429332713,27,11,"cbm",2.57888972897879,0.0126943828834317,-1.72013445892826,-1.63873251118099,-0.643327844969973,-0.0863594905666402,-0.0164005927241401,-0.140875914358041,-0.284545975022593
"15","cbmrr",0.35,15.7,8.1,7.1,1.30102999566398,0.924795995797912,-1.26360349772336,-0.224389551993639,-1.77945609207199,29,11,"cbm",2.97201306276877,-0.473372020329167,-0.427812743212308,0.211414585472254,0.0561201731656144,-0.259760693820701,0.10409956969389,-0.00917190879002549,-0.114953451612686
"16","cbvcb",26.88,17.85,8,7.8,1.07918124604762,0.9320930828571,-1.52251698392506,-1.86966623150499,-1.90570360259463,30,12,"cbv",0.202135190568982,0.143739617025682,-0.299160518630327,-0.861173464201248,0.103111401583537,-0.482631414515535,-0.610303793783428,-0.30731929901055,0.197642123089669
"17","cbvgi",31.645,17,9.05,8.1,0.602059991327962,0.671404281293384,-1.4907974776689,-2.70996538863748,-2.22184874961636,32,12,"cbv",-1.3172509489195,-0.636475558395347,-0.559372478061572,-0.820208902935693,-0.499045490654203,-0.82380427030172,-1.18028151442573,-0.93172707887526,0.208814589981269
"18","cbvsh",0.9,18.1,7.8,7.1,1.49136169383427,0.768823025449643,-1.51427857351842,-0.753747687700678,-1.72124639904717,33,12,"cbv",2.50420070758492,0.0420175524260862,-0.668102101803322,0.396502785737223,0.749849856894737,0.0835278239051412,-0.307791961535596,-0.00371541090407408,-0.210905512029871
"19","cbvsp",1.175,18.05,8.1,7.1,1.46982201597816,0.811575005870593,-1.3840499483436,-0.732710910568869,-1.61350103444935,34,12,"cbv",2.65010440455275,-0.0333424817584417,-0.418241010150692,0.299140841645907,0.611537174744134,-0.0467292309609426,-0.36853842312153,-0.151252782149024,-0.387197932386156
"20","cbvtc",18.66,17.6,7.6,7.5,1.60205999132796,1.03181227133037,-1.33984628585155,-1.37882371822496,-1.51641270303111,35,12,"cbv",1.77942855430143,0.628703647285111,0.230970450351677,-0.689960289365685,0.572103437247284,-0.23577314311432,-0.765922519769152,-0.0217530867955647,0.0910167362016065
"21","delbl",2.275,16.3,8.2,7,1.5910646070265,1.44143327583061,-1.35359627377693,-0.414539270491499,-1.8167301563172,38,10,"del",3.50089068893498,0.247754240910352,-0.757957832332987,-0.601802078191834,0.432152437547347,-0.908065256545243,0.0165490222070153,0.220428857959573,-0.116778346219248
"22","delds",0.18,16.4,8.4,6.8,1,1.44169513564072,-1.16749108729376,-0.653647025549361,-1.79588001734408,39,10,"del",3.19179171681791,-0.0782592771424804,-0.685929154227876,0.0782441418769434,-0.0061238014582192,-1.75839534398549,0.520258349581972,-0.480681105620905,-0.429661588629441
"23","delll",3.455,16.1,8,7,1.51851393987789,1.23527587668705,-0.971090010466406,-0.051587034221399,-1.61978875828839,40,10,"del",3.76338018609186,0.0760233949407919,0.0588903546316376,-0.158826101621458,-0.172941476153293,-0.617755620326126,0.0665488368031512,0.128470498804748,-0.271833567560194
"24","delsl",16.2775,15.4,6.8,7.1,1.568201724067,1.04669022137006,-0.839856736259827,-0.219682687859849,-1.36653154442041,42,10,"del",3.28097558716952,0.497297765166468,1.04386901650236,0.148998215856577,-0.169150157927103,-0.362602341116778,0.027936472993353,0.422007869595982,0.0832130915609467
"25","elkap",50.495,16.8,6.15,7.9,0.698970004336019,0.6036855496147,-1.23882418684427,-1.65104645201884,-1.22112552799726,44,24,"elk",-0.68214303645145,0.302411214269316,1.77900258099492,-0.112699863542527,-0.125511430859717,-0.236302183834749,0.27302529071423,-0.0838713637334368,0.342036655663371
"26","elknm",50.18,17.2,6.3,8.1,0.778151250383644,0.767403256850421,-1.15088783381542,-1.24910607961787,-1.34678748622466,45,24,"elk",-0.44278140607362,0.312246781388793,1.71566091976431,-0.768751511725576,-0.602418359218967,0.0245055086565729,0.392842305439996,0.00106715612460197,0.414587306365619
"27","elksm",49.95,16.2,6.9,8,0.778151250383644,0.547159121327418,-1.17777741922237,-1.08548055122727,-1.35343291305208,46,24,"elk",-0.361898272829576,-0.250766902170499,1.67234181671484,-0.42537528140704,-0.531479671895927,0.141120907234058,0.198831193618727,0.189257984712543,0.164451241459372
"28","elkvm",49.935,13.9,7.9,8,0.602059991327962,0.387389826338729,-1.22914798835786,-0.85949195696182,-1.42365864979421,47,24,"elk",-0.469112447144741,-1.24690590082726,1.54899317415796,-0.348276210709417,-0.638444749383933,0.078245533066793,0.169054971791551,0.252350249207003,-0.00487904501835526
"29","gndbc",27.7675,24,6.2,7.3,0.903089986991944,0.868056361823042,-1.97881070093006,-2.30102999566398,-2.30102999566398,48,21,"gnd",-0.403608781597508,1.49546511519701,-1.56502077124226,0.488041905170666,0.702323318742742,-0.698744064436173,0.187157675585117,0.0107102885231021,-0.00455012306232259
"30","gndbh",29.005,23.2,3.7,7,0.845098040014257,0.76808285572314,-1.49485002168009,-2.30102999566398,-2.30102999566398,49,21,"gnd",0.00879380150055222,2.49507733593304,-0.743109305825308,1.86387225331482,0.0660272462421329,-0.915435968981392,0.588713566802041,0.158470008199267,0.754220748441094
"31","gndbl",33.43,23.5,7,7.7,1,0.821840927200454,-2.30102999566398,-2.30102999566398,-2.30102999566398,50,21,"gnd",-1.0845349324676,0.99896522735935,-1.73449043868688,-0.465565086013225,1.03509521774136,-0.155261731721071,-0.0686000122057387,0.18456646915743,0.0235984785549599
"32","gndpc",35.96,23.7,7.4,8.1,1.07918124604762,0.831549851995756,-2.30102999566398,-2.30102999566398,-2.30102999566398,54,21,"gnd",-1.47375931796452,0.850844412326858,-1.59995059831736,-1.28048517376789,0.811326546085,0.326202836300952,-0.346872756149067,0.0677779423823718,0.132888247955266
"33","grbgb",39.24,15.05,8.5,7.9,0.602059991327962,0.669626758910977,-1.59773861754532,-1.2839966563652,-1.65429960941656,55,4,"grb",-0.450560532154807,-1.12172883438812,0.372265257737057,-0.712758739573796,-0.0295462937886605,-0.399893610918089,0.139609642906824,-0.0829523142228813,-0.0621777055043174
"34","grblr",20.55,17.3,8.6,7.3,0.698970004336019,0.332438459915605,-1.41285050174566,-0.96657624451305,-2.04575749056068,56,4,"grb",0.668614014807274,-1.10849101353757,-0.523134637743005,0.920650583166111,-0.353576625693741,-0.253468381925736,-0.112144924550755,-0.0324140979055265,-0.565775018447836
"35","grbor",35.06,16.3,7.9,7.7,0.903089986991944,0.658249954466958,-1.24412514432751,-0.96657624451305,-1.41793663708829,57,4,"grb",0.570130570337544,-0.524176011088949,0.974704553653824,-0.311168462436459,-0.195713943885298,-0.144882262898241,0.00343029376492006,-0.00598578846333558,-0.232031619608318
"36","grbsq",31.26,16.65,7.9,7.7,1.11394335230684,0.74347056670666,-0.871277715661573,-0.869666231504994,-1.44369749923271,58,4,"grb",1.23961870944568,-0.200906291688469,1.25558650794021,-0.407288407657388,-0.754204111873314,-0.111573087592454,-0.391140898560558,-0.0996285181116717,-0.220107935508986
"37","gtmfm",52.175,24,6.3,8,0.845098040014257,0.540954808926133,-1.49485002168009,-2.04575749056068,-1.85387196432176,59,17,"gtm",-1.44450246324507,1.16712338887473,0.372951792321736,-0.252464883679215,-0.349625437024666,0.274678910850144,-0.136563793260471,0.0844895617890498,-0.17292217708761
"38","gtmpc",26.04,24.55,5.3,7.4,0.929418925714293,0.832508912706236,-1.5016894462104,-2.06803388527183,-1.48148606012211,60,17,"gtm",0.113926854508521,1.90201311976705,0.180164217006649,0.598238573926978,0.588820773912423,-0.271664194901856,0.42636792637574,-0.627291884907165,-0.0824112450576361
"39","gtmpi",44.0775,24.3,5.8,7.6,1.02118929906994,0.676693609624867,-1.41172829315767,-1.98716277529483,-1.64301859900687,61,17,"gtm",-0.4463486798985,1.67930259679024,0.469757162210798,0.265813799663054,0.0884696703941007,-0.0650790848244436,-0.0184333968679226,0.0601033059616606,-0.277590820910216
"40","gtmss",51.6,24.1,6,7.9,0.954242509439325,0.630936119064191,-1.45904519107387,-1.80203063208383,-1.78251605578609,62,17,"gtm",-0.995893111758734,1.38722797682776,0.483224963354692,-0.240095207070758,-0.281683631074454,0.280281303842639,0.0427636956330337,0.267851038195858,-0.17724112845436
"41","heekk",51.81,25.8,6.55,8.1,0.301029995663981,-0.140411423264507,-1.8843894883257,-2.09555495892309,-2.4089353929735,63,29,"hee",-3.02796497637435,0.223414199634447,-0.721362143480598,0.801235308129953,-0.633435456052899,0.990378634865382,0.119603601896485,0.059365785586635,-0.349507590667951
"42","heer9",53.02,25.8,6.5,8.1,0.301029995663981,-0.223662090379825,-2.69897000433602,-2.32330639037513,-2.43474265657979,65,29,"hee",-3.83562674479525,0.0137166575671989,-1.62476592088023,0.697734421347384,0.794234856759572,1.24137897425169,0.433232550254677,0.420356173985064,-0.224145025551241
"43","heew2",0.26,24.3,2.4,6.9,1.14612803567824,-0.0109953843014632,-2.03385826726097,-2.88605664769316,-1.90483064856824,66,29,"hee",-0.158808712211745,2.63950820692697,-1.08874373353164,3.41829723008841,1.9179295160915,0.70485570874797,0.0523118978433118,-0.53762759714069,1.27706063627738
"44","hudbm",1.37,13.4,9.3,7.7,1.17609125905568,0.298853076409707,-1.54515513999149,0.2405492482826,-1.431798275933,67,8,"hud",1.97797579549119,-2.18246573153097,0.103368017260721,-0.210896569500392,0.337608506399933,1.28608028930776,-0.0829113952357928,-0.162389144865905,-0.203109278430458
"45","hudsc",0.38,15.75,8.9,7.9,0.602059991327962,-0.0109953843014632,-1.50863830616573,-0.387216143280265,-1.46218090492673,70,8,"hud",0.592960850758069,-2.24602434612266,0.145075515061316,0.415554333597829,-0.071304834612798,1.39507509347298,0.125959302147094,-1.10443700013848,-0.222371691911389
"46","hudsk",0.42,15.2,10,8.2,0.301029995663981,0.00432137378264258,-2,-0.0912469808154663,-2.25963731050576,71,8,"hud",-0.311428188354993,-3.24970375099636,-1.47196952095509,-0.28798813909838,-0.461674467664828,1.56413306887559,0.472775135799206,-0.795967616364955,-0.0484620055177356
"47","hudtn",0.24,16.9,8.55,7.5,1.04139268515823,0.477121254719662,-1.45593195564972,-0.503070351926785,-2.01772876696043,72,8,"hud",1.620985986105,-1.10369469235124,-0.826206820836164,0.280418832152948,-0.198529764773825,0.543114569881772,-0.171251346248971,-0.362538921289547,-0.0951157847219344
"48","hudts",0.24,16.6,8.7,7.6,0.954242509439325,0.440121603187804,-1.52287874528034,-0.494850021680094,-2.00877392430751,73,8,"hud",1.37395290175914,-1.33649787514276,-0.848868151742152,0.160140709539596,-0.184280538774846,0.644520338252008,-0.0973951929011469,-0.461212842888227,-0.0611147635164074
"49","jacb6",45.705,15.7,8.25,8,0.954242509439325,0.66228551572213,-1.80966830182971,-2.30102999566398,-1.62893213772826,75,9,"jac",-1.09362990825064,-0.383489278689262,0.29162548074318,-0.974116309500653,0.744920454223732,-0.448593428776503,-0.808374371503851,0.0308707833814071,0.199614088521024
"50","jacb9",43.63,16.7,8,7.9,0.845098040014257,0.724685388237359,-1.82390874094432,-2.15490195998574,-1.61708286491247,76,9,"jac",-0.969655798559872,-0.253405266776584,0.190459329819811,-0.807629787413493,0.729378247086912,-0.539023938053591,-0.401496407386801,-0.050106311338708,0.0849003744674515
"51","jacba",2.99,16.1,8.4,6.3,1.11394335230684,0.414137362184477,-1.85387196432176,-0.919012953089113,-2.22184874961636,77,9,"jac",2.32775690668881,-0.800390861098065,-1.87941940825976,2.2661336509118,1.1886702566533,-1.00158080451516,-0.127722537766018,0.697821830497446,-0.682471649793073
"52","jacne",24.72,15.5,8.4,7.3,0.778151250383644,0.608793373986931,-1.39794000867204,-1.30102999566398,-1.74472749489669,78,9,"jac",0.77399299199354,-0.81624258125968,-0.0060197966701151,0.479491312025568,0.0813443535491006,-0.816071007981911,-0.155745862208798,-0.117644981592608,-0.321917642866071
"53","job09",56.01,29.2,4.3,7.7,0.301029995663981,0.496583734489095,-1.21236244312158,-2.56066730616974,-2.4467239538629,80,30,"job",-2.2253470322908,2.47332048390496,-0.154754492132555,1.22383589717794,-1.51168274022552,-0.366682795716402,0.580879639701905,-0.17527719779706,-0.0964491709962045
"54","job10",55.5775,29.3,5.2,7.8,0,0.164352855784437,-1.20848478805837,-2.33724216831843,-2.88605664769316,81,30,"job",-2.78397048466991,1.55950894039339,-0.735263983919245,1.55524781265724,-2.26147430933824,-0.0818333790583582,0.517384289999234,-0.165851870679835,-0.34243165854842
"55","job19",54.265,28.8,6.3,8.1,0,-0.244125144327509,-1.38169035887657,-2.62893213772826,-2.93930215964639,84,30,"job",-3.58901361340812,0.730821287229305,-0.932792927661406,1.44799239372829,-2.11448626638624,0.58120700175081,-0.237558774543206,-0.371068372241317,-0.455760605492932
"56","job20",54.14,28.6,6.2,8.1,0.301029995663981,-0.494850021680094,-1.33535802444387,-2.56066730616974,-2.86966623150499,85,30,"job",-3.37701509099176,0.761741351864687,-0.693250288553148,1.7051139455602,-1.96600794182404,1.1521921126435,-0.762264542459048,-0.0700575281994111,-0.433412905684778
"57","kachd",48.14,6.2,9.9,8,0.301029995663981,-0.0154726866562074,-1.68420452649306,-0.943666965048838,-1.51286162452281,89,28,"kac",-1.09887038217908,-3.53385043241775,1.08194590984798,-0.130526371920104,0.0626500006755786,-0.210721367551424,-0.208725761311674,0.39789962060818,0.16585409160519
"58","kachs",45.515,8.6,10.8,8.1,0.477121254719662,0.136720567156407,-1.85387196432176,-1.03027354456385,-1.60511074283258,92,28,"kac",-1.0687222478301,-3.42919103629725,0.497705538624922,-0.829821367768492,0.275441956099965,-0.0813149022989692,-0.515793954632481,0.3209140786214,-0.246026509054027
"59","kacsd",48.625,6.75,9.8,8,0,0.0530784434834197,-1.7972393126068,-0.875251308802998,-1.53760200210104,94,28,"kac",-1.43254706454013,-3.66034030212548,0.898474939216506,-0.110579069753574,0.0257372916609252,-0.410805058413095,0.391909615517094,0.213276975167584,0.101437682406458
"60","kacss",47.855,6.55,10.3,8,0,0.161368002234975,-1.7514137561449,-0.895769034069199,-1.57348873863542,96,28,"kac",-1.2930860846113,-3.77496647118884,0.804811104428017,-0.360103220281359,-0.0792522686013672,-0.642713880418133,0.280055612273031,0.130122481317603,-0.024823998821565
"61","lksba",0.195,15.4,9,7.6,0.903089986991944,0.991226075692495,-1.33724216831843,-0.56304266933055,-2.18708664335714,97,1,"lks",1.82078293320123,-1.10431112574513,-1.01570813985682,-0.636520991215732,-0.663248537037272,-0.329935177852255,0.0491032198096693,-0.616403134591337,0.143983021164295
"62","lksbl",0.19,16.6,8.9,7.7,0.903089986991944,0.673941998634088,-0.901356274182943,-0.669079169404764,-2.15490195998574,98,1,"lks",1.71681411809172,-1.03088101189328,-0.411319243967409,-0.137532040374619,-1.43483336585057,0.0969336915400885,-0.485416846944607,-0.917787377545453,0.00406549526310089
"63","lksol",0.19,18.4,8.7,7.7,0.845098040014257,0.585460729508501,-1.69897000433602,-1.14874165128092,-2.22731164531786,99,1,"lks",0.687219934771967,-0.938894770543807,-1.45392206306283,-0.119340969155397,-0.0758094004336049,0.318095977952728,-0.211413158994251,-0.799794549001201,0.0277678657300658
"64","lkspo",0.22,17.1,6.2,7.4,1.74036268949424,0.666283922623102,-1.65757731917779,-1.63357704277403,-1.75696195131371,100,1,"lks",1.73817968661789,0.867208642900801,-0.545401702859498,0.369344054384351,1.21309129290271,0.520337556314464,-0.880039988070108,-0.128112883629961,0.988547823070984
