code,SpCond,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,cluster,pca_id,Map.Number,Map.Code
acebb,47.78,21.9,6.2,7.8,1.278753601,0.668665415,-1.323763783,-1.816730156,-1.365270892,D,1,15,ace
aceei,44.74,22.05,6.1,7.7,1.230448921,0.833784375,-1.612165428,-1.604236911,-1.591336126,D,2,15,ace
acefc,11.1025,21.25,5.3,6.9,1.447158031,0.907276967,-1.288192771,-1.403952992,-1.145086978,A,3,15,ace
acemc,28.31,21.6,5.9,7.4,1.380211242,0.876895896,-1.360762604,-1.449771647,-1.267807349,D,7,15,ace
acesp,45.1475,21.9,6,7.7,1.230448921,0.605735894,-1.282537542,-1.775985189,-1.41453927,D,9,15,ace
apacp,35.31,23.75,7,8,0.903089987,0.788875116,-1.628932138,-1.375030729,-2.698970004,B,11,19,apa
apadb,33.7625,23.7,7.25,8,1,0.903089987,-1.865173709,-1.420216403,-2.823908741,B,12,19,apa
apaeb,14.5325,24.6,7,7.6,1.113943352,1.088292643,-1.537602002,-1.619788758,-2.698970004,A,13,19,apa
apaes,12.425,24.55,6.7,7.5,0.903089987,1.06694679,-1.619788758,-1.602059991,-2.698970004,A,15,19,apa
apapc,41.28,23.1,6.7,8.1,0.903089987,0.73239376,-2.045757491,-1.978810701,-2.997962227,B,19,19,apa
cbmip,0.44,16.2,8.1,7.2,1.041392685,0.467608106,-1.270295379,-0.461761499,-1.306273051,A,23,11,cbm
cbmmb,17.89,15.6,7.8,7,0.954242509,0.893761762,-2.085656706,-1.333716077,-1.855425792,A,25,11,cbm
cbmmc,0.23,17.25,6.7,6.6,1.255272505,0.84135947,-1.327902142,-0.680200179,-1.808735338,A,26,11,cbm
cbmoc,0.34,20.4,9.075,7.6,1.414973348,1.437829806,-1.420216403,-0.247951552,-2.401574293,A,27,11,cbm
cbmrr,0.35,15.7,8.1,7.1,1.301029996,0.924795996,-1.263603498,-0.224389552,-1.779456092,A,29,11,cbm
cbvcb,26.88,17.85,8,7.8,1.079181246,0.932093083,-1.522516984,-1.869666232,-1.905703603,D,30,12,cbv
cbvgi,31.645,17,9.05,8.1,0.602059991,0.671404281,-1.490797478,-2.821846273,-2.22184875,B,32,12,cbv
cbvsh,0.9,18.1,7.8,7.1,1.491361694,0.768823025,-1.514278574,-0.753747688,-1.721246399,A,33,12,cbv
cbvsp,1.175,18.05,8.1,7.1,1.469822016,0.811575006,-1.384049948,-0.732710911,-1.613501034,A,34,12,cbv
cbvtc,18.66,17.6,7.6,7.5,1.602059991,1.031812271,-1.339846286,-1.378823718,-1.516412703,A,35,12,cbv
delbl,2.275,16.3,8.2,7,1.591064607,1.441433276,-1.353596274,-0.41453927,-1.816730156,A,38,10,del
delds,0.18,16.4,8.4,6.8,1,1.441695136,-1.167491087,-0.653647026,-1.795880017,A,39,10,del
delll,3.455,16.1,8,7,1.51851394,1.235275877,-0.97109001,-0.051587034,-1.619788758,A,40,10,del
delsl,16.2775,15.4,6.8,7.1,1.568201724,1.046690221,-0.839856736,-0.219682688,-1.366531544,A,42,10,del
elkap,50.495,16.8,6.15,7.9,0.698970004,0.60368555,-1.238824187,-1.702786804,-1.221125528,D,44,24,elk
elknm,50.18,17.2,6.3,8.1,0.77815125,0.767403257,-1.150887834,-1.257667718,-1.346787486,D,45,24,elk
elksm,49.95,16.2,6.9,8,0.77815125,0.547159121,-1.177777419,-1.092409512,-1.353432913,D,46,24,elk
elkvm,49.935,13.9,7.9,8,0.602059991,0.387389826,-1.229147988,-0.859491957,-1.42365865,C,47,24,elk
gndbc,27.7675,24,6.2,7.3,0.903089987,0.868056362,-1.978810701,-2.339019029,-2.401661724,B,48,21,gnd
gndbh,29.005,23.2,3.7,7,0.84509804,0.768082856,-1.494850022,-2.259637311,-2.477105333,D,49,21,gnd
gndbl,33.43,23.5,7,7.7,1,0.821840927,-2.287630376,-2.823722997,-2.195776908,B,50,21,gnd
gndpc,35.96,23.7,7.4,8.1,1.079181246,0.831549852,-2.301029996,-2.729245583,-2.397940009,B,54,21,gnd
grbgb,39.24,15.05,8.5,7.9,0.602059991,0.669626759,-1.597738618,-1.283996656,-1.654299609,C,55,4,grb
grblr,20.55,17.3,8.6,7.3,0.698970004,0.33243846,-1.412850502,-0.966576245,-2.045757491,A,56,4,grb
grbor,35.06,16.3,7.9,7.7,0.903089987,0.658249954,-1.244125144,-0.966576245,-1.417936637,D,57,4,grb
grbsq,31.26,16.65,7.9,7.7,1.113943352,0.743470567,-0.871277716,-0.869666232,-1.443697499,A,58,4,grb
gtmfm,52.175,24,6.3,8,0.84509804,0.540954809,-1.494850022,-2.045757491,-1.853871964,D,59,17,gtm
gtmpc,26.04,24.55,5.3,7.4,0.929418926,0.832508913,-1.501689446,-2.068033885,-1.48148606,D,60,17,gtm
gtmpi,44.0775,24.3,5.8,7.6,1.021189299,0.67669361,-1.411728293,-1.987162775,-1.643018599,D,61,17,gtm
gtmss,51.6,24.1,6,7.9,0.954242509,0.630936119,-1.459045191,-1.802030632,-1.782516056,D,62,17,gtm
heekk,51.81,25.8,6.55,8.1,0.301029996,-0.140411423,-1.884389488,-2.095554959,-2.408935393,B,63,29,hee
heer9,53.02,25.8,6.5,8.1,0.301029996,-0.22366209,-2.698970004,-2.32330639,-2.434742657,B,65,29,hee
heew2,0.26,24.3,2.4,6.9,1.146128036,-0.010995384,-2.033858267,-2.886056648,-1.904830649,D,66,29,hee
hudbm,1.37,13.4,9.3,7.7,1.176091259,0.298853076,-1.54515514,0.240549248,-1.431798276,A,67,8,hud
hudsc,0.38,15.75,8.9,7.9,0.602059991,-0.010995384,-1.508638306,-0.387216143,-1.462180905,C,70,8,hud
hudsk,0.42,15.2,10,8.2,0.301029996,0.004321374,-1.856405325,-0.091246981,-2.259637311,C,71,8,hud
hudtn,0.24,16.9,8.55,7.5,1.041392685,0.477121255,-1.455931956,-0.503070352,-2.017728767,A,72,8,hud
hudts,0.24,16.6,8.7,7.6,0.954242509,0.440121603,-1.522878745,-0.494850022,-2.008773924,A,73,8,hud
jacb6,45.705,15.7,8.25,8,0.954242509,0.662285516,-1.809668302,-2.221502524,-1.628932138,B,75,9,jac
jacb9,43.63,16.7,8,7.9,0.84509804,0.724685388,-1.823908741,-2.062642242,-1.617082865,B,76,9,jac
jacba,2.99,16.1,8.4,6.3,1.113943352,0.414137362,-1.853871964,-0.919012953,-2.22184875,A,77,9,jac
jacne,24.72,15.5,8.4,7.3,0.77815125,0.608793374,-1.397940009,-1.301029996,-1.744727495,A,78,9,jac
job09,56.01,29.2,4.3,7.7,0.301029996,0.496583734,-1.212362443,-2.552841969,-2.47820835,B,80,30,job
job10,55.5775,29.3,5.2,7.8,0,0.164352856,-1.208484788,-2.346787486,-2.80557936,B,81,30,job
job19,54.265,28.8,6.3,8.1,0,-0.244125144,-1.381690359,-2.698670173,-2.744727495,B,84,30,job
job20,54.14,28.6,6.2,8.1,0.301029996,-0.491470281,-1.335358024,-2.584034794,-2.685857789,B,85,30,job
kachd,48.14,6.2,9.9,8,0.301029996,-0.015472687,-1.684204526,-0.943666965,-1.512861625,C,89,28,kac
kachs,45.515,8.6,10.8,8.1,0.477121255,0.136720567,-1.853871964,-1.030273545,-1.605110743,C,92,28,kac
kacsd,48.625,6.75,9.8,8,0,0.053078443,-1.797239313,-0.875251309,-1.537602002,C,94,28,kac
kacss,47.855,6.55,10.3,8,0,0.161368002,-1.751413756,-0.895769034,-1.573488739,C,96,28,kac
lksba,0.195,15.4,9,7.6,0.903089987,0.991226076,-1.337242168,-0.563042669,-2.187086643,A,97,1,lks
lksbl,0.19,16.6,8.9,7.7,0.903089987,0.673941999,-0.901356274,-0.669079169,-2.15490196,A,98,1,lks
lksol,0.19,18.4,8.7,7.7,0.84509804,0.58546073,-1.715569266,-1.148741651,-2.217578138,A,99,1,lks
lkspo,0.22,17.1,6.2,7.4,1.740362689,0.666283923,-1.688246139,-1.633577043,-1.756961951,A,100,1,lks
marab,45.39,24.3,7,8.2,0.954242509,0.748188027,-2.54515514,-2.944124839,-1.758204569,B,101,22,mar
marce,37.3475,25.1,7.1,8.1,1.041392685,0.774516966,-2.387216143,-2.864963408,-1.391473966,B,102,22,mar
marcw,32.82,24.2,7.2,8.1,1.278753601,0.785329835,-2.59345982,-3.011473516,-1.384576047,B,103,22,mar
marmb,40.85,24.4,7.1,8.2,1.230448921,0.788875116,-2.560667306,-2.897677622,-1.647817482,B,104,22,mar
marsc,48.855,24.55,6.7,8.2,0.84509804,0.612783857,-2.468521083,-2.859274195,-2.197226275,B,105,22,mar
narnc,44.27,15.4,7.1,7.5,0.301029996,0.224014811,-1.691435586,-2.354490626,-1.530177984,C,106,6,nar
narpc,45.22,11.9,8.7,7.9,0,0.400969479,-1.838631998,-2.22184875,-1.59345982,C,107,6,nar
nartb,47.405,11.4,8.5,8,0,0.273348569,-1.922632095,-2.307984823,-1.689837935,C,108,6,nar
narts,46.73,12.2,8.55,8,0,0.25163822,-2.088842391,-2.398333962,-1.729321164,C,109,6,nar
niwcb,51.85,20.8,6.2,7.7,1,0.688864568,-1.300379042,-2.15490196,-1.87874117,D,112,14,niw
niwdc,51.25,21.05,6.35,7.7,0.954242509,0.739374533,-1.330683119,-2.21944268,-1.903089987,D,113,14,niw
niwol,51.785,21.4,5.9,7.6,1.041392685,0.859588577,-1.287139935,-2.237508996,-1.820663686,D,114,14,niw
niwta,11.63,20.6,6.8,7.1,1.477121255,0.898450919,-1.022047879,-0.86922412,-1.44279366,A,115,14,niw
nocec,35.4275,20.4,7.4,7.8,1,0.85308953,-1.308918508,-1.042153366,-1.801342913,D,118,13,noc
noclc,50.585,20.6,7.2,8,0.698970004,0.391816924,-1.443697499,-3.038541174,-2.522878745,B,119,13,noc
nocrc,48.045,20.7,7,7.9,0.77815125,0.544068044,-1.42078822,-2.783300472,-2.48148606,B,120,13,noc
noczb,35.5,20.75,6.7,7.7,1.176091259,0.966610987,-1.273272791,-1.185086819,-1.581698709,D,121,13,noc
owcbr,0.65,14.9,8.1,7.8,1,0.247973266,-1.522878745,0.361586195,-1.649025534,A,122,2,owc
owcdr,0.63,15.7,6.7,7.6,1.230448921,0.564073979,-1.443697499,0.269921363,-1.795880017,A,123,2,owc
owcol,0.5,16.8,7.85,7.7,1.477121255,1.239424618,-1.133712661,0.082695631,-2.033858267,A,124,2,owc
owcsu,0.67,15.3,7.4,7.8,1.243038049,0.763802224,-1.26760624,0.491081413,-1.71219827,A,125,2,owc
owcwm,0.48,16.7,7.8,7.7,1.477121255,1.19180021,-1.092409512,0.017867719,-2.048176965,A,126,2,owc
pdbbp,44.93,10.9,9.5,8,0.301029996,0.232784414,-1.758204569,-0.914352712,-1.2915791,C,127,27,pdb
pdbby,45.395,10.25,8.7,7.9,0.301029996,0.280464547,-1.803409346,-0.689041308,-1.243173787,C,128,27,pdb
pdbgd,46.31,9.7,7.1,7.8,0.301029996,0.149603955,-1.744727495,-0.501586055,-1.192126868,C,129,27,pdb
pdbgs,45.54,10.65,8.7,7.9,0,0.251435421,-1.93930216,-0.60736166,-1.254534831,C,130,27,pdb
pdbje,41.115,11.9,8.2,7.6,1.096910013,0.462397998,-0.357683897,-0.16774663,-1.707743929,A,131,27,pdb
pdbjl,3.7325,11.05,5.9,6.9,1.431363764,0.443849476,-0.351371688,-0.093873804,-1.751413756,A,132,27,pdb
rkbfb,45.98,27.1,5.2,7.8,0.903089987,0.667686382,-1.576754126,-2.259637311,-1.877784122,D,137,18,rkb
rkbfu,42.2375,26.95,5,7.7,0.84509804,0.423245874,-1.49825627,-1.782516056,-1.978810701,D,138,18,rkb
rkblh,50.53,27.1,5.4,7.9,0.903089987,0.602059991,-1.657577319,-2.187086643,-2.096910013,B,139,18,rkb
rkbmb,50.5925,26.9,4.4,7.7,1,0.537189226,-1.420216403,-1.823908741,-1.602059991,D,140,18,rkb
rkbpb,46.495,27.05,4.9,7.8,1,0.582631439,-1.576754126,-2.22184875,-1.698970004,D,141,18,rkb
sapca,48.6475,22.5,6.5,7.8,1.204119983,0.937517892,-1.328364403,-2.402046906,-1.225118234,D,144,16,sap
sapdc,42.4,22.6,4.9,7.4,1.204119983,0.604496053,-0.622193069,-1.756961951,-0.637234873,D,145,16,sap
sapfd,37.01,24.9,5.2,7.2,0.929418926,0.860338007,-1.572676214,-2.22184875,-1.401574293,D,146,16,sap
saphd,40.02,22.8,5.3,7.4,0.84509804,0.693140461,-1.448550002,-2.319349282,-1.48945499,D,147,16,sap
sapld,42.0575,21.95,6.1,7.7,1.397940009,0.977151789,-1.431798276,-1.838631998,-1.532638583,D,148,16,sap
sapml,40.905,22.6,6.8,7.7,1.255272505,0.927712462,-1.503762455,-1.472799881,-1.454692884,D,149,16,sap
sfbcc,37.03,16.35,7.8,7.8,1.638489257,0.792391689,-1.323763783,-0.638602731,-1.031166955,A,150,25,sfb
sfbfm,7.2,17.35,7,7.6,1.602059991,0.612783857,-1.13430394,0.039800648,-0.665294994,A,151,25,sfb
sfbgc,34.65,16.9,7.1,7.7,1.591064607,0.716003344,-1.140561465,-0.849550591,-0.917573699,D,152,25,sfb
sfbsm,7.2,17.2,7.5,7.5,1.544068044,0.571126277,-1.274496731,-0.31553616,-1.138839112,A,153,25,sfb
sosch,47.115,12,8.8,8,0.477121255,0.331427297,-1.503993401,-0.912366447,-1.49643628,C,155,26,sos
sosva,44.25,12.6,8.6,7.9,0.602059991,0.419129308,-1.468776625,-0.918172809,-1.582251598,C,159,26,sos
soswi,24.2425,12.45,8.55,7.3,0.84509804,0.030734617,-1.597452049,-0.67853966,-2.083984954,C,160,26,sos
tjrbr,50.74,17.3,6.8,8,0.477121255,0.030734617,-0.984011895,-1.681936665,-1.005243055,D,161,23,tjr
tjrmm,53.8,18.05,5.4,7.7,1,0.122215878,-0.777283529,-1.615288257,-1.173925197,D,163,23,tjr
tjros,50.82,18.8,5.2,7.7,0.698970004,0.239299479,-0.943476276,-1.602059991,-0.791827473,D,164,23,tjr
tjrpe,69.9225,21.3,6.95,8.3,0.653212514,1.272769587,-1.965237894,-2,-1.657577319,B,165,23,tjr
tjrpr,53.68,21.1,6.25,8,0.954242509,0.368286885,-1.580044252,-2.01211039,-1.522878745,D,166,23,tjr
tjrsb,53.54,21,6.5,8,0.84509804,0.327358934,-1.654626269,-1.979845968,-1.394335884,D,169,23,tjr
tjrtl,48.0425,20.15,4.15,7.6,0.903089987,0.389166084,-0.911863911,-1.028028724,-0.702239489,D,170,23,tjr
welht,0.2,12.4,10.5,6.8,0.301029996,-0.698970004,-2.367844709,-0.95369998,-3.312442866,C,172,3,wel
welin,48.08,9.3,9.2,7.9,0.477121255,-0.045757491,-1.568636236,-1.468521083,-1.903089987,C,173,3,wel
wellm,33.24,12.7,8.95,7.8,0.477121255,-0.15490196,-1.744727495,-1.180456064,-2.522878745,C,174,3,wel
welsm,5.75,13.5,9.2,7.2,0.602059991,-0.397940009,-2.136097587,-0.976541762,-3.075878341,C,176,3,wel
wkbfr,11.97,23.95,7.05,7.2,1.079181246,1.260071388,-1.30980392,-0.30980392,-4.061645897,A,178,20,wkb
wkbmb,15.99,24.3,7.8,7.9,1.176091259,1.48403871,-1.654299609,-0.845677486,-3.826779698,A,179,20,wkb
wkbmr,15.495,24.9,7.3,7.7,1.230448921,1.455047991,-1.46428403,-0.467882884,-4.312994743,A,180,20,wkb
wkbwb,18.13,24.1,7.75,7.9,1.176091259,1.475719602,-1.568636236,-1.152838799,-3.709003923,A,181,20,wkb
wqbcr,43.355,16.6,7.8,7.8,0.301029996,1.14690287,-1.657577319,-1.09017663,-2.042153366,C,184,5,wqb
wqbmh,47.86,12.9,8.8,8,0.301029996,0.380211242,-1.8569852,-2.123493496,-1.823908741,C,186,5,wqb
wqbmp,46.315,16.6,8.4,8,0,0.457881897,-1.855425792,-2.327902142,-2.062983893,C,187,5,wqb
wqbsl,45.32,17.8,7.8,7.9,0,0.414973348,-1.809668302,-2.52651303,-2.22184875,B,190,5,wqb
