Map.Code,code,cluster,Sal,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
mar,marab,B,29.4,24.3,7,8.2,0.954242509,0.748188027,-2.54515514,-2.944124839,-1.758204569,-2.492862334,1.077172843,-1.03646727,-1.13676573,1.700932654,0.402429018,0.013448784,0.023938371,-0.018211326
mar,marce,B,23.65,25.1,7.1,8.1,1.041392685,0.774516966,-2.387216143,-2.864963408,-1.391473966,-1.895770352,1.18158541,-0.638141278,-1.056122133,1.903127898,0.501478778,-0.084119684,0.476196616,-0.190111412
mar,marcw,B,20.45,24.2,7.2,8.1,1.278753601,0.785329835,-2.59345982,-3.011473516,-1.384576047,-1.744940477,1.224623891,-0.934590634,-1.213184985,2.507328334,0.69377488,-0.303625785,0.261102998,0.000582715
mar,marmb,B,26.1,24.4,7.1,8.2,1.230448921,0.788875116,-2.560667306,-2.897677622,-1.647817482,-2.055850309,1.252010934,-1.024896446,-1.357078728,2.020553428,0.684728951,-0.223344993,-0.058134357,-0.011364204
mar,marsc,B,31.85,24.55,6.7,8.2,0.84509804,0.612783857,-2.468521083,-2.859274195,-2.197226275,-2.734595294,1.07239196,-1.295321796,-0.740958372,1.061519741,0.4334498,0.032798126,-0.243727195,0.083355525
nar,narnc,C,28.4,15.4,7.1,7.5,0.301029996,0.224014811,-1.691435586,-2.354490626,-1.530177984,-1.412436773,-0.747994937,0.554698043,1.068623345,0.549583162,-0.92109914,-0.014895465,0.194517173,0.178956306
nar,narpc,C,28.9,11.9,8.7,7.9,0,0.400969479,-1.838631998,-2.22184875,-1.59345982,-1.891557925,-2.010784379,0.133624331,-0.096969547,0.370089427,-1.109854212,0.090151005,0.530807988,0.315755378
nar,nartb,C,30.5,11.4,8.5,8,0,0.273348569,-1.922632095,-2.307984823,-1.689837935,-2.259847155,-2.093052229,0.075179869,-0.032135224,0.377308352,-0.884684418,0.046257446,0.332177351,0.513809123
nar,narts,C,30.1,12.2,8.55,8,0,0.25163822,-2.088842391,-2.398333962,-1.729321164,-2.457720106,-2.045566746,-0.20842179,-0.002481669,0.633160415,-0.797579744,0.100247745,0.312479235,0.434786851
niw,niwcb,D,34.1,20.8,6.2,7.7,1,0.688864568,-1.300379042,-2.15490196,-1.87874117,-0.701165449,1.164906696,0.665316694,-0.061070488,-0.358017739,-0.464278614,-0.410754259,-0.382799137,0.036569193
niw,niwdc,D,33.6,21.05,6.35,7.7,0.954242509,0.739374533,-1.330683119,-2.21944268,-1.903089987,-0.749945573,1.156359818,0.528524514,-0.129332447,-0.332566364,-0.570205494,-0.392678509,-0.270090675,-0.003482664
niw,niwol,D,34,21.4,5.9,7.6,1.041392685,0.859588577,-1.287139935,-2.237508996,-1.820663686,-0.497641463,1.570114675,0.699340442,-0.115107985,-0.234013398,-0.749463757,-0.296496206,-0.340210743,0.031057959
niw,niwta,A,6.6,20.6,6.8,7.1,1.477121255,0.898450919,-1.022047879,-0.86922412,-1.44279366,2.532054659,1.059283749,0.618419049,0.390352943,0.192439931,-0.111459175,-0.235899427,0.234878959,-0.332355112
noc,nocec,D,22.35,20.4,7.4,7.8,1,0.85308953,-1.308918508,-1.042153366,-1.801342913,0.39614226,0.326615105,0.249834512,-0.700412224,-0.505585502,0.059727828,0.104290047,0.056421873,-0.266270759
noc,noclc,B,33.05,20.6,7.2,8,0.698970004,0.391816924,-1.443697499,-3.038541174,-2.522878745,-2.034529748,0.529757841,-0.351209761,0.068944919,-0.724274875,-0.368333213,-1.220220122,-0.018181474,0.350734632
noc,nocrc,B,31.275,20.7,7,7.9,0.77815125,0.544068044,-1.42078822,-2.783300472,-2.48148606,-1.5422612,0.737710537,-0.342582385,-0.009581943,-0.679097779,-0.471086735,-0.978372308,-0.073162345,0.321004609
noc,noczb,D,22.6,20.75,6.7,7.7,1.176091259,0.966610987,-1.273272791,-1.185086819,-1.581698709,0.659333589,0.923779975,0.611927862,-0.687229645,-0.18549134,-0.047848911,0.124355768,-0.028398918,-0.14144522
owc,owcbr,A,0.3,14.9,8.1,7.8,1,0.247973266,-1.522878745,0.361586195,-1.649025534,1.592419504,-1.704265319,-0.045918971,0.111663495,-0.045120351,1.564454685,0.573748503,0.139834811,0.177928149
owc,owcdr,A,0.3,15.7,6.7,7.6,1.230448921,0.564073979,-1.443697499,0.269921363,-1.795880017,2.139152975,-0.520631662,-0.031986184,0.177234702,-0.049138749,1.168292462,0.801122746,-0.194291201,0.561785174
owc,owcol,A,0.2,16.8,7.85,7.7,1.477121255,1.239424618,-1.133712661,0.082695631,-2.033858267,2.875616625,0.047768742,-0.402955606,-1.277604055,-0.605037494,0.44943377,0.199013845,0.11781604,0.352804341
owc,owcsu,A,0.3,15.3,7.4,7.8,1.243038049,0.763802224,-1.26760624,0.491081413,-1.71219827,2.374337928,-0.754456114,0.128829768,-0.625071458,-0.42850749,1.165421703,0.714400885,0.067781576,0.47221626
owc,owcwm,A,0.2,16.7,7.8,7.7,1.477121255,1.19180021,-1.092409512,0.017867719,-2.048176965,2.840525729,0.048758941,-0.34413875,-1.179620459,-0.66346545,0.469187587,0.097852859,0.126242422,0.400877558
pdb,pdbbp,C,28.9,10.9,9.5,8,0.301029996,0.232784414,-1.758204569,-0.914352712,-1.2915791,-0.982802732,-2.810141908,0.631381499,-0.518419999,0.241449061,-0.11758542,0.291695874,0.005717043,-0.254710343
pdb,pdbby,C,29.275,10.25,8.7,7.9,0.301029996,0.280464547,-1.803409346,-0.689041308,-1.243173787,-0.795943024,-2.600202425,0.784714249,-0.311932601,0.340866558,-0.192750137,0.759617347,-0.236299102,-0.051256696
pdb,pdbgd,C,29.8,9.7,7.1,7.8,0.301029996,0.149603955,-1.744727495,-0.501586055,-1.192126868,-0.723649432,-2.186084368,1.268140576,0.357569154,0.2616459,-0.020827414,1.232555672,-0.55679706,0.417201423
pdb,pdbgs,C,29.3,10.65,8.7,7.9,0,0.251435421,-1.93930216,-0.60736166,-1.254534831,-1.177764361,-2.872627147,0.588357602,-0.122216595,0.331382568,-0.31121185,1.244475751,-0.003676756,-0.13916529
pdb,pdbje,A,26.1,11.9,8.2,7.6,1.096910013,0.462397998,-0.357683897,-0.16774663,-1.707743929,1.798034618,-1.18788201,1.887823647,-0.113055735,-1.921419389,-0.207982371,-0.794316877,-0.559114643,-0.09129635
pdb,pdbjl,A,2,11.05,5.9,6.9,1.431363764,0.443849476,-0.351371688,-0.093873804,-1.751413756,3.697756944,-0.117580332,1.590608586,1.660343211,-1.063421116,-0.158185316,-0.463810237,-0.442711214,0.93453579
rkb,rkbfb,D,29.9,27.1,5.2,7.8,0.903089987,0.667686382,-1.576754126,-2.259637311,-1.877784122,-1.272503012,2.075919977,0.202733955,0.179919095,-0.104468002,0.20599653,0.218790069,0.10302523,-0.142542453
rkb,rkbfu,D,27.1,26.95,5,7.7,0.84509804,0.423245874,-1.49825627,-1.782516056,-1.978810701,-0.983582522,1.768292574,0.241134808,0.81579763,-0.411549835,0.556464348,0.417206561,-0.015937863,-0.197363393
rkb,rkblh,B,33.1,27.1,5.4,7.9,0.903089987,0.602059991,-1.657577319,-2.187086643,-2.096910013,-1.574360062,1.918076842,-0.052990799,0.060055001,-0.281336588,0.363940319,0.18588956,-0.185159619,-0.192269008
rkb,rkbmb,D,33.2,26.9,4.4,7.7,1,0.537189226,-1.420216403,-1.823908741,-1.602059991,-0.95166696,2.228674074,0.997792267,0.539858479,-0.200273571,0.445426766,0.496158039,-0.24992077,-0.213670076
rkb,rkbpb,D,30.15,27.05,4.9,7.8,1,0.582631439,-1.576754126,-2.22184875,-1.698970004,-1.228464544,2.158893313,0.509039737,0.277607504,0.086825364,0.440582955,0.211162159,0.00063713,-0.109595463
sap,sapca,D,31.7,22.5,6.5,7.8,1.204119983,0.937517892,-1.328364403,-2.402046906,-1.225118234,-0.492941182,1.569039252,1.134591624,-0.841811861,0.387657651,-0.363779825,-0.542483172,0.165614084,-0.210836012
sap,sapdc,D,27.1,22.6,4.9,7.4,1.204119983,0.604496053,-0.622193069,-1.756961951,-0.637234873,0.721723766,1.870920382,2.892630532,0.647485249,-0.208784315,-0.131879972,-0.306115809,0.426134794,-0.205367831
sap,sapfd,D,23.4,24.9,5.2,7.2,0.929418926,0.860338007,-1.572676214,-2.22184875,-1.401574293,-0.093348007,2.072870502,0.504879766,0.795938506,0.807425047,-0.74978192,0.439656479,0.295329344,-0.316143884
sap,saphd,D,25.45,22.8,5.3,7.4,0.84509804,0.693140461,-1.448550002,-2.319349282,-1.48945499,-0.476280807,1.624211658,0.735931698,0.74765291,0.406480479,-0.599127179,0.16069251,0.255801901,0.037794728
sap,sapld,D,26.975,21.95,6.1,7.7,1.397940009,0.977151789,-1.431798276,-1.838631998,-1.532638583,0.186949419,1.670228019,0.642195204,-0.714249542,0.365504682,-0.066990978,-0.21174304,-0.322284524,-0.016638812
sap,sapml,D,26.175,22.6,6.8,7.7,1.255272505,0.927712462,-1.503762455,-1.472799881,-1.454692884,0.211079987,1.171067044,0.504872863,-0.749493282,0.354121155,0.052012416,0.043572801,-0.14482508,-0.471049204
sfb,sfbcc,A,23.5,16.35,7.8,7.8,1.638489257,0.792391689,-1.323763783,-0.638602731,-1.031166955,1.324572992,-0.042843529,1.30432549,-1.306790505,0.52922168,0.600000269,-0.342711304,-0.654281626,-0.306527402
sfb,sfbfm,A,4,17.35,7,7.6,1.602059991,0.612783857,-1.13430394,0.039800648,-0.665294994,2.56374073,-0.081243036,1.613495468,-0.354228763,0.628094586,1.343368982,0.197166041,0.203975819,-0.082272616
sfb,sfbgc,D,21.8,16.9,7.1,7.7,1.591064607,0.716003344,-1.140561465,-0.849550591,-0.917573699,1.383209704,0.300570873,1.709609429,-0.798752946,0.418847941,0.527021048,-0.401016182,-0.407653884,-0.126042186
sfb,sfbsm,A,4,17.2,7.5,7.5,1.544068044,0.571126277,-1.274496731,-0.31553616,-1.138839112,2.294342173,-0.200297533,0.80347355,-0.09684618,0.608536155,1.015992995,-0.139409748,0.048284246,-0.102847645
sos,sosch,C,30.55,12,8.8,8,0.477121255,0.331427297,-1.503993401,-0.912366447,-1.49643628,-0.703617866,-2.113569014,0.803582925,-0.547247909,-0.302689104,-0.104860678,0.125368763,-0.202341376,-0.077550758
sos,sosva,C,28.6,12.6,8.6,7.9,0.602059991,0.419129308,-1.468776625,-0.918172809,-1.582251598,-0.355742476,-1.764013158,0.674707877,-0.490765209,-0.284008422,-0.173208446,0.063794177,-0.266657007,-0.057733672
sos,soswi,C,14.775,12.45,8.55,7.3,0.84509804,0.030734617,-1.597452049,-0.67853966,-2.083984954,0.777374784,-1.857148965,-0.306447528,1.194523337,0.127611308,0.091099741,-0.265014714,-0.684014626,-0.11664836
tjr,tjrbr,D,33.3,17.3,6.8,8,0.477121255,0.030734617,-0.984011895,-1.681936665,-1.005243055,-1.244256969,-0.679984324,2.293150164,0.423835281,-0.69721616,0.292107036,-0.270280827,0.453014608,0.00823157
tjr,tjrmm,D,35.6,18.05,5.4,7.7,1,0.122215878,-0.777283529,-1.615288257,-1.173925197,-0.363655333,0.558807278,2.593900258,0.813875728,-0.766810831,0.25274192,-0.506663042,-0.415488431,0.193584705
tjr,tjros,D,33.4,18.8,5.2,7.7,0.698970004,0.239299479,-0.943476276,-1.602059991,-0.791827473,-0.615578943,0.482414457,2.719960371,0.776919239,-0.3521115,0.059174405,0.201843777,0.175179659,0.1209973
tjr,tjrpe,B,47.9,21.3,6.95,8.3,0.653212514,1.272769587,-1.965237894,-2,-1.657577319,-2.195192939,0.833894696,0.194395948,-2.234892052,0.113496915,-0.748859096,0.848900478,-0.39925551,-0.252987697
tjr,tjrpr,D,35.5,21.1,6.25,8,0.954242509,0.368286885,-1.580044252,-2.01211039,-1.522878745,-1.458443585,0.654568076,0.923837701,-0.178860925,0.117758722,0.460693131,-0.179099333,-0.379155344,-0.027996348
tjr,tjrsb,D,35.4,21,6.5,8,0.84509804,0.327358934,-1.654626269,-1.979845968,-1.394335884,-1.598911114,0.38613187,0.947316849,-0.148772264,0.279991922,0.445959597,-0.047199821,-0.234417588,-0.166221395
tjr,tjrtl,D,31.2,20.15,4.15,7.6,0.903089987,0.389166084,-0.911863911,-1.028028724,-0.702239489,0.100256235,1.136627956,2.91641008,0.796842869,-0.345501892,0.340264242,0.795134026,-0.084994034,0.162856171
wel,welht,C,0.1,12.4,10.5,6.8,0.301029996,-0.698970004,-2.367844709,-0.95369998,-3.312442866,0.149904319,-3.521972344,-3.201039612,3.365089851,0.636399741,0.046463839,-0.517926629,-0.624192443,-0.562022158
wel,welin,C,31.1,9.3,9.2,7.9,0.477121255,-0.045757491,-1.568636236,-1.468521083,-1.903089987,-1.134562034,-2.630545394,0.395683727,0.193420059,-0.241753117,-0.211855642,-0.688314639,-0.587017454,0.216048438
wel,wellm,C,20.7,12.7,8.95,7.8,0.477121255,-0.15490196,-1.744727495,-1.180456064,-2.522878745,-0.860034453,-2.342521137,-0.821430206,0.829453524,-0.458380024,0.348911638,-0.436335179,-0.507497138,0.181719767
wel,welsm,C,3.1,13.5,9.2,7.2,0.602059991,-0.397940009,-2.136097587,-0.976541762,-3.075878341,0.163027047,-2.477591844,-2.41836807,2.328182622,0.313935885,0.505909841,-0.431100318,-0.6428715,0.032627742
wkb,wkbfr,A,6.8,23.95,7.05,7.2,1.079181246,1.260071388,-1.30980392,-0.30980392,-4.061645897,2.058797472,1.340995775,-2.989835755,0.311304903,-2.122466473,-0.551400121,0.449487919,-0.623441662,-0.089488001
wkb,wkbmb,A,9.4,24.3,7.8,7.9,1.176091259,1.48403871,-1.654299609,-0.845677486,-3.826779698,0.943557579,1.258420201,-3.203170449,-1.456753921,-1.583678272,0.006342798,0.220045891,-0.286277745,0.19320643
wkb,wkbmr,A,9,24.9,7.3,7.7,1.230448921,1.455047991,-1.46428403,-0.467882884,-4.312994743,1.468415932,1.556224807,-3.473082917,-0.908212848,-2.291685162,-0.05364632,0.295349464,-0.698296722,0.199303086
wkb,wkbwb,A,10.8,24.1,7.75,7.9,1.176091259,1.475719602,-1.568636236,-1.152838799,-3.709003923,0.803682342,1.364444609,-2.927651407,-1.436562909,-1.541074132,-0.154920511,-0.029654573,-0.167446531,0.25348499
wqb,wqbcr,C,27.7,16.6,7.8,7.8,0.301029996,1.14690287,-1.657577319,-1.09017663,-2.042153366,-0.448741976,-0.559431641,-0.406937888,-0.972387672,-0.527883051,-1.212740721,1.107531517,0.174973866,-0.013242536
wqb,wqbmh,C,30.9,12.9,8.8,8,0.301029996,0.380211242,-1.8569852,-2.123493496,-1.823908741,-1.806509166,-1.745564296,-0.099175548,-0.392785525,0.25059474,-0.674768578,-0.237794993,0.057737345,0.23040258
wqb,wqbmp,C,29.9,16.6,8.4,8,0,0.457881897,-1.855425792,-2.327902142,-2.062983893,-2.261459765,-1.264327344,-0.515223778,-0.133182687,-0.158092006,-0.848210177,0.114736377,0.58114881,0.101062676
wqb,wqbsl,B,29.2,17.8,7.8,7.9,0,0.414973348,-1.809668302,-2.52651303,-2.22184875,-2.305728535,-0.820393545,-0.604607325,0.303981202,-0.27468651,-0.901270526,0.073745491,0.571211469,0.215909608
